100   "Failed"
101   "Failed"
103   "Failed"
104   "Failed"
109   "Failed"
111   "Failed"
112   "Failed"
116   "Failed"
118   "Failed"
119   "Failed"
120   22741   "Ebomegobius goodi"
120   1713   "Echelus myrus"
120   9084   "Echelus pachyrhynchus"
120   9031   "Echidna peli"
120   9085   "Echiophis creutzbergi"
120   10873   "Einara macrolepis"
120   1714   "Electrona risso"
120   10011   "Eleotris daganensis"
120   4959   "Elops lacerta"
120   5023   "Elops senegalensis"
120   1098   "Enchelycore nigricans"
120   66   "Engraulis encrasicolus"
120   9889   "Enneacampus ansorgii"
120   2480   "Enneacampus kaupi"
120   426   "Epinephelus aeneus"
120   9217   "Epinephelus caninus"
120   9224   "Epinephelus costae"
120   4961   "Epinephelus goreensis"
120   16   "Epinephelus itajara"
120   6470   "Epinephelus marginatus"
120   3562   "Erythrocles monodi"
120   1594   "Ethmalosa fimbriata"
120   682   "Etmopterus polli"
120   684   "Etmopterus pusillus"
120   687   "Etmopterus spinax"
120   1052   "Eucinostomus melanopterus"
120   11206   "Eugnathichthys macroterolepis"
120   11736   "Eustomias achirus"
120   11743   "Eustomias dendriticus"
120   11749   "Eustomias lipochirus"
120   11753   "Eustomias melanonema"
120   97   "Euthynnus alletteratus"
120   1796   "Evermannella balbo"
120   9071   "Facciolella oxyrhyncha"
120   3275   "Fistularia tabacaria"
120   11763   "Flagellostomias boureei"
120   1033   "Fodiator acutus"
120   341   "Galeoides decadactylus"
120   811   "Galeus polli"
120   12696   "Garra lancrenonensis"
120   1041   "Gempylus serpens"
120   4962   "Gephyroberyx darwinii"
120   9907   "Gerres nigri"
120   2532   "Ginglymostoma cirratum"
120   9114   "Glossanodon polli"
120   9953   "Gobioides africanus"
120   9954   "Gobioides sagitta"
120   5052   "Gonostoma atlanticum"
120   1799   "Gonostoma denudatum"
120   7383   "Gonostoma elongatum"
120   9134   "Grammicolepis brachiusculus"
120   9149   "Guentherus altivela"
120   9032   "Gymnothorax afer"
120   9034   "Gymnothorax mareei"
120   2577   "Gymnura altavela"
120   2579   "Gymnura micrura"
120   5051   "Halosaurus ovenii"
120   76   "Helicolenus dactylopterus+dactylopterus"
120   9086   "Hemerorhinus opici"
120   1942   "Hemicaranx bicolor"
120   1059   "Hemiramphus brasiliensis"
120   10888   "Herwigia kreffti"
120   8844   "Heteromycteris proboscideus"
120   11706   "Heterophotus ophistoma"
120   1801   "Hippocampus hippocampus"
120   10869   "Hippopotamyrus macrops"
120   7457   "Hirundichthys affinis"
120   11163   "Holacanthus africanus"
120   11316   "Holtbyrnia innesi"
120   11338   "Holtbyrnia macrops"
120   9072   "Hoplunnis punctata"
120   11139   "Hydrocynus somonorum"
120   4520   "Hygophum reinhardtii"
120   16291   "Hygophum taaningi"
120   1720   "Hymenocephalus italicus"
120   3757   "Hypleurochilus aequipinnis"
120   9010   "Hyporhamphus picarti"
120   9262   "Hyporthodus haifensis"
120   8088   "Ijimaia loppei"
120   1625   "Ilisha africana"
120   78   "Istiophorus albicans"
120   752   "Isurus oxyrinchus"
120   107   "Katsuwonus pelamis"
120   10021   "Kribia nana"
120   11553   "Labeo lineatus"
120   3735   "Labrisomus nuchipinnis"
120   2013   "Laemonema laureysi"
120   7410   "Lampadena anomala"
120   16667   "Lampadena chavesi"
120   7411   "Lampadena luminosa"
120   616   "Lampanyctus alatus"
120   7413   "Lampanyctus nobilis"
120   7415   "Lampanyctus tenuiformis"
120   5055   "Lamprogrammus exutus"
120   1042   "Lepidocybium flavobrunneum"
120   6591   "Lepidophanes guentheri"
120   2073   "Leptocharias smithii"
120   11592   "Leptocypris weynsii"
120   10895   "Leptoderma macrops"
120   1867   "Lethrinus atlanticus"
120   8903   "Leucoraja leucosticta"
120   692   "Lichia amia"
120   22627   "Lipophrys bauchotae"
120   706   "Lithognathus mormyrus"
120   5465   "Liza falcipinnis"
120   9918   "Liza grandisquamis"
120   1794   "Lobianchia dofleini"
120   5103   "Lophiodes kempi"
120   4988   "Lophius vaillanti"
120   1401   "Lutjanus agennes"
120   1429   "Lutjanus dentatus"
120   794   "Lutjanus endecacanthus"
120   1070   "Lutjanus fulgens"
120   1439   "Lutjanus goreensis"
120   217   "Makaira indica"
120   216   "Makaira nigricans"
120   4989   "Malacocephalus laevis"
120   4990   "Malacocephalus occidentalis"
120   10157   "Malacosteus niger"
120   10056   "Mastacembelus congicus"
120   10090   "Mastacembelus marchei"
120   9969   "Mauligobius nigri"
120   10151   "Maulisia mauli"
120   1079   "Megalops atlanticus"
120   9053   "Melamphaes leprus"
120   10161   "Melanostomias biseriatus"
120   11782   "Melanostomias tentaculatus"
120   327   "Merluccius polli"
120   8847   "Microchirus boscanion"
120   10038   "Microctenopoma fasciolatum"
120   22812   "Microdesmus aethiopicus"
120   9892   "Microphis brachyurus+aculeatus"
120   2481   "Microphis brachyurus+brachyurus"
120   12456   "Microspathodon frontatus"
120   1544   "Microthrissa royauxi"
120   10199   "Miracorvina angolensis"
120   9527   "Mochokus brevis"
120   9526   "Mochokus niloticus"
120   1732   "Mola mola"
120   9915   "Monodactylus sebae"
120   5096   "Monomitopus metriostoma"
120   10930   "Mormyrops attenuatus"
120   5204   "Mormyrops oudoti"
120   26236   "Mormyrus caballus+caballus"
120   58575   "Mormyrus goheeni"
120   2396   "Mormyrus hasselquistii"
120   4995   "Mugil bananensis"
120   785   "Mugil cephalus"
120   1086   "Mugil curema"
120   9038   "Muraena melanotis"
120   7549   "Muraena robusta"
120   4996   "Mustelus mustelus"
120   1214   "Mycteroperca rubra"
120   7424   "Myctophum affine"
120   4488   "Myctophum asperum"
120   4490   "Myctophum nitidulum"
120   7416   "Myctophum obtusirostre"
120   4330   "Myliobatis aquila"
120   9089   "Myrichthys pardalis"
120   9090   "Myrophis plumbeus"
120   9091   "Mystriophis crosnieri"
120   9092   "Mystriophis rostellatus"
120   10269   "Nannobrachium lineatum"
120   11243   "Nannocharax niloticus"
120   998   "Naucrates ductor"
120   3907   "Nealotus tripes"
120   9974   "Nematogobius ansorgii"
120   9975   "Nematogobius maindroni"
120   9107   "Nemichthys curvirostris"
120   2660   "Nemichthys scolopaceus"
120   9003   "Neoharriotta pinnata"
120   4997   "Nezumia aequalis"
120   8519   "Nezumia duodecim"
120   8524   "Nezumia micronychodon"
120   11454   "Normichthys operosus"
120   4553   "Notolychnus valdiviae"
120   7417   "Notoscopelus caudispinosus"
120   2735   "Notoscopelus resplendens"
120   850   "Oblada melanura"
120   1535   "Odaxothrissa vittata"
120   5297   "Odontostomias micropogon"
120   16608   "Odontostomops normalops"
120   1105   "Ophichthus ophis"
120   1745   "Ophisurus serpens"
120   7397   "Opisthoproctus soleatus"
120   718   "Oxynotus centrina"
120   3160   "Oxyporhamphus micropterus+similis"
120   11784   "Pachystomias microdon"
120   436   "Pagellus bellottii"
120   5067   "Pagrus africanus"
120   5066   "Pagrus auriga"
120   4540   "Pagrus caeruleostictus"
120   9047   "Panturichthys longus"
120   16326   "Parablennius incognitus"
120   22645   "Parablennius verryckeni"
120   5069   "Paraconger notialis"
120   5256   "Paradistichodus dimidiatus"
120   4998   "Paragaleus pectoralis"
120   9369   "Parailia congica"
120   11064   "Parakneria cameronensis"
120   4999   "Parakuhlia macrophthalmus"
120   5481   "Parasudis fraserbrunneri"
120   1037   "Parexocoetus brachypterus"
120   342   "Pentanemus quinquarius"
120   5000   "Pentheroscion mbizi"
120   12803   "Periophthalmus barbarus"
120   4932   "Perulibatrachus elminensis"
120   8931   "Physiculus huloti"
120   9097   "Pisodonophis semicinctus"
120   11456   "Platytroctes apus"
120   9908   "Plectorhinchus macrolepis"
120   10259   "Pollichthys mauli"
120   11029   "Pollimyrus nigripinnis"
120   5002   "Polydactylus quadrifilis"
120   10165   "Polyipnus polli"
120   5057   "Polymetme corythaeola"
120   349   "Polyprion americanus"
120   2386   "Polypterus palmas+palmas"
120   4708   "Pomadasys jubelini"
120   9911   "Pomadasys perotaei"
120   1149   "Priacanthus arenatus"
120   898   "Prionace glauca"
120   2546   "Pristis microdon"
120   2057   "Pristis pectinata"
120   8940   "Pristis pristis"
120   1038   "Prognichthys gibbifrons"
120   5008   "Promethichthys prometheus"
120   4504   "Psettodes belcheri"
120   9098   "Pseudomyrophis atlanticus"
120   433   "Pseudotolithus elongatus"
120   10200   "Pseudotolithus epipercus"
120   5010   "Pseudotolithus moorii"
120   432   "Pseudotolithus senegalensis"
120   5009   "Pseudotolithus senegallus"
120   4550   "Pseudotolithus typus"
120   453   "Pseudupeneus prayensis"
120   5011   "Pteromylaeus bovinus"
120   423   "Pteroscion peli"
120   229   "Pterothrissus belloci"
120   9049   "Pythonichthys macrurus"
120   9051   "Pythonichthys microphthalmus"
120   9153   "Radiicephalus elongatus"
120   2059   "Raja clavata"
120   5014   "Raja miraletus"
120   8934   "Raja rouxi"
120   5015   "Raja straeleni"
120   3267   "Regalecus glesne"
120   9066   "Rhechias bertini"
120   2081   "Rhincodon typus"
120   8825   "Rhinobatos albomaculatus"
120   7968   "Rhinobatos blochii"
120   2074   "Rhinobatos cemiculus"
120   8880   "Rhinobatos irvinei"
120   5016   "Rhinobatos rhinobatos"
120   899   "Rhizoprionodon acutus"
120   5017   "Rhynchobatus luebberti"
120   7613   "Rostroraja alba"
120   1044   "Ruvettus pretiosus"
120   1056   "Rypticus saponaceus"
120   3355   "Rypticus subbifrenatus"
120   11461   "Sagamichthys schnakenbecki"
120   115   "Sarda sarda"
120   1043   "Sardinella aurita"
120   1047   "Sardinella maderensis"
120   1516   "Sardinella rouxi"
120   9059   "Sargocentron hastatum"
120   117   "Scomber japonicus"
120   141   "Scomberomorus tritor"
120   16630   "Scopelarchus analis"
120   5119   "Scopelengys tristis"
120   9158   "Scopelosaurus argenteus"
120   5019   "Scorpaena angolensis"
120   5026   "Scorpaena laevis"
120   5025   "Scorpaena normani"
120   5027   "Scorpaena stephanica"
120   847   "Scyliorhinus cervigoni"
120   5090   "Searsia koefoedi"
120   387   "Selar crumenophthalmus"
120   379   "Selene dorsalis"
120   1959   "Seriola carpenteri"
120   5028   "Serranus accraensis"
120   1353   "Serranus cabrilla"
120   7477   "Serrivomer beanii"
120   5029   "Setarches guentheri"
120   11659   "Sigmops bathyphilus"
120   49278   "Snyderidia canina"
120   5030   "Sphyraena afra"
120   1236   "Sphyraena guachancho"
120   911   "Sphyrna couardi"
120   912   "Sphyrna lewini"
120   5105   "Spicara alta"
120   1356   "Spondyliosoma cantharus"
120   708   "Squalus blainville"
120   655   "Squalus uyato"
120   725   "Squatina aculeata"
120   735   "Squatina oculata"
120   12513   "Stegastes imbricatus"
120   7389   "Sternoptyx diaphana"
120   10166   "Sternoptyx pseudobscura"
120   11047   "Stomatorhinus puncticulatus"
120   10167   "Stomias affinis"
120   11718   "Stomias lampropeltis"
120   11719   "Stomias longibarbatus"
120   9023   "Strongylura senegalensis"
120   24641   "Syacium guineensis"
120   8870   "Symphurus ligulatus"
120   5059   "Synagrops microlepis"
120   7476   "Synaphobranchus affinis"
120   8854   "Synaptura lusitanica+lusitanica"
120   1703   "Synchiropus phaeton"
120   9531   "Synodontis acanthomias"
120   9534   "Synodontis alberti"
120   9563   "Synodontis frontosa"
120   7534   "Synodontis gambiensis"
120   8969   "Taeniura grabata"
120   11248   "Talismania antillarum"
120   10150   "Talismania homoptera"
120   5061   "Talismania longifilis"
120   11263   "Talismania mekistonema"
120   10103   "Tetraodon mbu"
120   219   "Tetrapturus albidus"
120   220   "Tetrapturus pfluegeri"
120   6875   "Thoracochromis wingatii"
120   22797   "Thorogobius rofeni"
120   142   "Thunnus alalunga"
120   143   "Thunnus albacares"
120   146   "Thunnus obesus"
120   8942   "Torpedo mackayana"
120   5132   "Torpedo marmorata"
120   2553   "Torpedo nobiliana"
120   2062   "Torpedo torpedo"
